OBJECTID,CSA2010,totjobs10,totjobs11,totjobs12,totjobs13,totjobs14,totjobs15,totjobs16,totjobs17,totjobs18,CSA2020,totjobs19,totjobs20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,1887,2250,2338,2448,2394,2253,2191,2247,2070,Allendale/Irvington/S. Hilton,2129,2036,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,870,1004,1045,1041,1142,1018,1109,1180,1072,Beechfield/Ten Hills/West Hills,1341,1271,47882527.7110596,37524.9505334171
3,Belair-Edison,988,3245,3245,2948,2745,2738,1435,1408,1422,Belair-Edison,1461,1342,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,8424,8676,8606,8617,7797,8344,7377,7392,7229,Brooklyn/Curtis Bay/Hawkins Point,8944,8512,176077742.748718,150987.703638771
5,Canton,2747,2786,3122,3330,3451,3365,2980,2869,3139,Canton,3322,2787,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,2269,2518,2371,2035,1930,1932,1857,1830,1795,Cedonia/Frankford,1934,1927,71541340.3063965,39962.5498347166
7,Cherry Hill,2288,2408,2493,2464,2450,2379,2285,2210,2269,Cherry Hill,2484,2364,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,917,908,984,943,973,837,788,824,759,Chinquapin Park/Belvedere,729,471,21022590.1307373,21705.411630344
9,Claremont/Armistead,4186,2216,2288,2413,2404,2505,2429,2331,2460,Orchard Ridge/Armistead,2351,1963,61243774.4211426,40104.415980189
10,Clifton-Berea,1337,1351,1518,1782,1786,1815,1707,1525,1262,Clifton-Berea,1266,1193,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,486,548,644,683,659,703,793,823,848,Cross-Country/Cheswolde,869,905,38222018.3164673,26788.3018783839
12,Dickeyville/Franklintown,169,253,307,269,235,212,218,227,232,Dickeyville/Franklintown,220,218,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,812,1015,1044,1090,1095,1161,1017,998,929,Dorchester/Ashburton,1053,1167,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,83582,80640,81294,80238,78077,78158,70028,70376,76808,Downtown/Seton Hill,77938,77294,20736554.4064941,21565.859394559
15,Edmondson Village,161,219,238,230,229,176,172,175,177,Edmondson Village,156,155,23563061.0443115,21504.551357829
16,Fells Point,6155,6267,6258,7187,7141,7771,6329,6757,6898,Fells Point,8529,7750,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,391,295,388,435,432,448,400,397,451,Forest Park/Walbrook,486,457,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,5959,6718,7618,7083,6937,7641,6967,7012,7048,Glen-Fallstaff,7406,6645,46995477.4781494,48549.0046179292
19,Greater Charles Village/Barclay,8853,11621,13408,13521,12220,12482,11646,11709,12537,Greater Charles Village/Barclay,13695,13035,27051213.4559937,26454.2692113332
20,Greater Govans,520,563,582,627,642,643,654,722,618,Greater Govans,648,638,22698495.7178955,22982.125714974
21,Greater Mondawmin,3575,4342,4911,4484,4692,4475,3888,2867,3934,Greater Mondawmin,4476,4138,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,6584,4482,4302,4357,3923,3809,3322,3291,3276,Greater Roland Park/Poplar Hill,3344,3117,56688145.1790161,39862.7497953117
23,Greater Rosemont,1570,1950,1712,1625,1565,1566,1391,1305,1434,Greater Rosemont,1434,1423,42204384.5406494,32559.0762211492
24,Greenmount East,691,875,689,693,621,676,586,582,678,Oliver/Johnson Square,691,690,19072287.8240967,20797.4734578598
25,Hamilton,1868,1914,1673,1651,1455,1422,1319,1326,1328,Hamilton,1531,1381,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,6798,8856,7676,7360,8097,8235,9253,9262,8609,Harbor East/Little Italy,9557,8600,10215859.0836182,18552.4075815937
27,Harford/Echodale,2146,2464,2621,2740,2353,2148,2024,1984,1994,Hamilton Hills,2252,2410,65360039.1698608,40019.1854001996
28,Highlandtown,3351,3276,3497,3500,3315,3343,3076,2978,2828,Highlandtown,3049,2760,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,4099,3420,4046,3922,14374,14267,3665,3704,5450,Howard Park/West Arlington,5944,6164,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,10382,11205,12854,13180,14078,14659,10772,11797,11417,Inner Harbor/Federal Hill,12964,10434,24995836.2615967,43415.0595478862
31,Lauraville,1299,1279,1389,1472,1570,1497,1280,1560,1559,Greater Lauraville,1673,1565,49665744.2354736,34419.676527973
32,Loch Raven,3709,3653,3720,3609,3328,3343,2779,2728,2763,Loch Raven,2967,2900,44147812.3265381,29314.3346718286
33,Madison/East End,452,548,460,462,474,429,420,326,389,Madison/East End,402,332,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,13182,13266,13034,13609,14004,14533,13619,12720,13326,Hampden/Remington,14437,13477,62441489.2398071,43152.625699222
35,Midtown,13977,13313,13927,13705,12496,12836,12296,11446,11676,Midtown,13073,10977,23823949.9294434,25020.0969698082
36,Midway/Coldstream,1691,981,1278,1327,1243,1179,1165,1100,1160,Midway/Coldstream,1092,947,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,11167,11061,8687,8824,10650,11153,10249,10042,10185,Morrell Park/Violetville,10525,10539,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,2229,2480,2596,2651,3544,3651,3308,3288,3285,Mount Washington/Coldspring,3981,3999,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,4866,4910,4534,4391,4931,4853,4264,4184,3933,North Baltimore/Guilford/Homeland,4435,4183,74923987.6937256,42904.2221443544
40,Northwood,3369,3567,3675,3576,3584,3449,3100,3085,3088,Northwood,3708,3397,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,23647,25665,27881,28480,27526,27354,25807,25879,28500,Oldtown/Middle East,30381,30384,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,14437,14608,14976,15193,15337,15235,13558,14134,14315,Greektown/Bayview,15134,14255,89894372.2113037,47825.8629266244
43,Patterson Park North & East,736,824,1059,1062,1064,1142,957,871,868,Patterson Park North & East,1097,893,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,1863,1605,1177,1134,923,938,1218,1196,947,Penn North/Reservoir Hill,751,931,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,6491,6512,6339,6549,6129,6392,6006,6140,6560,Pimlico/Arlington/Hilltop,6958,6975,30400962.0054932,24725.9340693613
46,Poppleton/The Terraces/Hollins Market,896,862,1043,1011,1024,1014,999,1056,993,Poppleton/The Terraces/Hollins Market,1451,1775,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,966,1116,1322,1168,1116,941,718,675,753,Sandtown-Winchester/Harlem Park,730,710,23672092.8682861,20987.1433066354
48,South Baltimore,5380,5381,6008,6006,7052,7324,6798,6398,6317,South Baltimore,7158,6837,46353935.4255981,68440.02582664
49,Southeastern,10673,10285,11522,12280,13218,13356,16718,16415,16111,Southeastern,18991,24671,111251478.472229,102291.480547698
50,Southern Park Heights,1190,1257,1207,1142,1156,1094,1081,1098,1110,Southern Park Heights,1063,930,27876227.5908203,24052.221372193
51,Southwest Baltimore,2959,3138,3145,3046,3139,3331,2802,2759,2691,Southwest Baltimore,2937,2658,37766068.8365479,28355.563581391
52,The Waverlies,2955,2869,2325,2447,2686,2565,2277,2260,2457,The Waverlies,2689,2285,20383750.5437012,18733.826879757
53,Upton/Druid Heights,6405,6471,7363,7366,7538,7410,7035,7041,6970,Upton/Druid Heights,7134,7322,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,5900,6105,6722,6632,6633,8971,7337,7495,7727,Pigtown/Carroll Park,8856,7704,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,2371,2687,2761,2741,3037,3184,2727,2613,2707,Westport/Mount Winans/Lakeland,2796,2469,45494092.9501953,42573.1244161851
